nakshatra,count,avg_return_7d_pct,std_return_pct,win_rate_pct,t_statistic,p_value,significant,p_bonferroni,significant_bonf
Anuradha,201,2.794,11.112,56.7,3.5555,0.000471,True,0.012717000000000001,False
UttaraAshadha,199,2.465,10.831,57.3,3.2021,0.001591,True,0.042957,False
PurvaAshadha,195,2.359,10.452,57.4,3.1353,0.001987,True,0.053649,False
PūrvaPhalgunī,207,2.203,10.315,55.1,3.0727,0.002408,True,0.065016,False
Maghā,202,2.148,10.45,55.9,2.9207,0.003891,True,0.105057,False
Mula,204,2.578,12.714,57.8,2.889,0.004286,True,0.11572199999999999,False
Punarvasu,200,2.119,10.545,56.5,2.842,0.00495,True,0.13365000000000002,False
Chitra,201,2.189,11.034,58.2,2.8123,0.005409,True,0.146043,False
Jyeshtha,197,2.421,12.085,57.4,2.8048,0.005544,True,0.14968800000000002,False
Āshleshā,206,2.196,11.308,57.8,2.7877,0.005808,True,0.15681599999999998,False
UttaraPhalgunī,204,1.903,9.976,56.9,2.7244,0.007005,True,0.189135,False
Svati,202,2.068,10.972,57.9,2.6789,0.007998,True,0.215946,False
Vishakha,198,1.8,10.261,56.6,2.468,0.014441,False,0.389907,False
Hasta,207,1.774,11.06,58.9,2.308,0.021993,False,0.593811,False
Shravana,199,1.65,10.213,57.8,2.2738,0.024056,False,0.649512,False
Ardra,206,1.855,12.244,52.9,2.1746,0.030808,False,0.831816,False
Mrigashīrsha,206,1.743,13.045,52.9,1.9179,0.05651,False,1.0,False
Pushya,206,1.637,12.469,54.9,1.8848,0.060869,False,1.0,False
Dhanishta,199,1.568,12.18,55.3,1.8166,0.070794,False,1.0,False
Shatabhisha,195,1.211,11.002,54.4,1.5373,0.125845,False,1.0,False
Rohini,202,1.321,13.545,51.5,1.3864,0.167174,False,1.0,False
Ashwini,201,1.193,13.107,47.3,1.2909,0.198217,False,1.0,False
Bharani,199,1.031,11.95,50.3,1.217,0.225042,False,1.0,False
UttaraBhādrapadā,196,0.982,12.959,54.1,1.0607,0.290153,False,1.0,False
Revati,201,0.953,13.552,46.8,0.9968,0.320068,False,1.0,False
PurvaBhādrapadā,199,0.639,12.252,51.8,0.736,0.462614,False,1.0,False
Krittika,201,0.562,11.631,49.3,0.6847,0.494317,False,1.0,False
