window,test_start,test_end,test_days,accuracy,precision,recall,bull_pred_ratio,actual_bull_ratio,avg_return_strategy,avg_return_buy_hold,total_return_strategy,total_return_buy_hold,strategy_win_rate
1,2015-03-05,2015-08-31,180,0.3944,0.2812,0.403,0.5333,0.3722,-0.005603,-0.0229,-1.0086,-4.1221,0.2056
2,2015-06-03,2015-11-29,180,0.4444,0.45,0.0918,0.1111,0.5444,0.002543,-0.013075,0.4578,-2.3535,0.0722
3,2015-09-01,2016-02-27,180,0.4333,0.4624,0.4526,0.5167,0.5278,0.000915,0.003072,0.1646,0.553,0.2667
4,2015-11-30,2016-05-27,180,0.35,0.3439,0.7941,0.8722,0.3778,0.017517,0.016535,3.153,2.9763,0.5611
5,2016-02-28,2016-08-25,180,0.3111,0.2276,0.4912,0.6833,0.3167,0.007644,0.021397,1.376,3.8515,0.4278
6,2016-05-28,2016-11-23,180,0.4,0.3757,1.0,0.9611,0.3611,0.014694,0.014432,2.6449,2.5977,0.5944
7,2016-08-26,2017-02-21,180,0.5667,0.6271,0.3978,0.3278,0.5167,0.017531,0.019196,3.1555,3.4552,0.2111
8,2016-11-24,2017-05-22,180,0.5333,0.6509,0.5948,0.5889,0.6444,0.003701,0.020364,0.6661,3.6656,0.3167
9,2017-02-22,2017-08-20,180,0.4667,0.5333,0.7547,0.8333,0.5889,0.024889,0.024288,4.4801,4.3719,0.5778
10,2017-05-23,2017-11-18,180,0.55,0.6,0.729,0.7222,0.5944,0.030157,0.036856,5.4283,6.6341,0.5222
11,2017-08-21,2018-02-16,180,0.5833,0.6034,0.7071,0.6444,0.55,0.039442,0.049283,7.0996,8.871,0.4556
12,2017-11-19,2018-05-17,180,0.6278,0.5347,0.7297,0.5611,0.4111,0.050144,0.065765,9.0259,11.8378,0.4167
13,2018-02-17,2018-08-15,180,0.55,0.3922,0.2857,0.2833,0.3889,0.027679,0.058346,4.9822,10.5023,0.2111
14,2018-05-18,2018-11-13,180,0.4889,0.2414,0.2258,0.3222,0.3444,0.005447,0.02667,0.9804,4.8006,0.1778
15,2018-08-16,2019-02-11,180,0.4722,0.2375,0.3585,0.4444,0.2944,-0.010243,-0.000205,-1.8437,-0.0368,0.1722
16,2018-11-14,2019-05-12,180,0.5111,0.4444,0.5714,0.55,0.4278,-0.011051,-0.01209,-1.9891,-2.1763,0.2278
17,2019-02-12,2019-08-10,180,0.4944,0.5246,0.6598,0.6778,0.5389,-0.013304,-0.026363,-2.3947,-4.7453,0.2778
18,2019-05-13,2019-11-08,180,0.4667,0.4013,0.9692,0.8722,0.3611,-0.004272,-0.002506,-0.7689,-0.451,0.4111
19,2019-08-11,2020-02-06,180,0.6778,0.4906,0.4561,0.2944,0.3167,0.01243,0.045029,2.2374,8.1053,0.1833
20,2019-11-09,2020-05-06,180,0.4,0.3448,0.3704,0.4833,0.45,0.013734,0.024132,2.4721,4.3437,0.2611
21,2020-02-07,2020-08-04,180,0.3722,0.3719,0.5488,0.6722,0.4556,-0.002477,-0.001522,-0.4459,-0.274,0.2944
22,2020-05-07,2020-11-02,180,0.6111,0.5714,0.6667,0.5444,0.4667,0.003513,0.001123,0.6323,0.2021,0.2833
23,2020-08-05,2021-01-31,180,0.3611,0.4545,0.3738,0.4889,0.5944,-0.002549,0.009987,-0.4588,1.7977,0.2333
24,2020-11-03,2021-05-01,180,0.5444,0.7183,0.4513,0.3944,0.6278,0.010822,0.021365,1.9479,3.8458,0.1889
25,2021-02-01,2021-07-30,180,0.55,0.4868,0.4684,0.4222,0.4389,0.0365,0.058978,6.57,10.6161,0.3444
26,2021-05-02,2021-10-28,180,0.5056,0.3721,0.2051,0.2389,0.4333,0.008121,0.071826,1.4618,12.9287,0.1444
27,2021-07-31,2022-01-26,180,0.6056,0.5556,0.0694,0.05,0.4,0.00127,0.00174,0.2287,0.3131,0.0278
28,2021-10-29,2022-04-26,180,0.5667,0.3614,0.5455,0.4611,0.3056,-0.010827,0.004577,-1.9488,0.8239,0.1944
29,2022-01-27,2022-07-25,180,0.5944,0.427,0.6333,0.4944,0.3333,-0.015407,0.015254,-2.7732,2.7458,0.1722
30,2022-04-27,2022-10-23,180,0.6056,0.3896,0.5556,0.4278,0.3,-0.004969,-0.009911,-0.8945,-1.7839,0.1889
31,2022-07-26,2023-01-21,180,0.4278,0.3119,0.5484,0.6056,0.3444,0.001471,-0.022467,0.2649,-4.044,0.2944
32,2022-10-24,2023-04-21,180,0.5056,0.3902,0.4507,0.4556,0.3944,-0.012244,-0.024329,-2.2039,-4.3793,0.1556
33,2023-01-22,2023-07-20,180,0.4944,0.2466,0.3333,0.4056,0.3,-0.012736,-0.005713,-2.2925,-1.0284,0.1111
34,2023-04-22,2023-10-18,180,0.4333,0.202,0.4651,0.55,0.2389,0.000878,0.017587,0.1581,3.1656,0.25
35,2023-07-21,2024-01-16,180,0.4833,0.338,0.3429,0.3944,0.3889,0.001898,0.026252,0.3416,4.7253,0.2056
36,2023-10-19,2024-04-15,180,0.45,0.4845,0.4896,0.5389,0.5333,0.003355,0.000596,0.6038,0.1072,0.2722
37,2024-01-17,2024-07-14,180,0.5389,0.5,0.3012,0.2778,0.4611,0.007872,0.015106,1.4169,2.719,0.1333
38,2024-04-16,2024-10-12,180,0.4444,0.3176,0.3913,0.4722,0.3833,0.018633,0.038757,3.3539,6.9763,0.3
39,2024-07-15,2025-01-10,180,0.4889,0.4681,0.7952,0.7833,0.4611,0.016413,0.016437,2.9543,2.9587,0.45
40,2024-10-13,2025-04-10,180,0.5222,0.4422,0.942,0.8167,0.3833,-0.004122,-0.000366,-0.742,-0.0658,0.3556
41,2025-01-11,2025-07-09,180,0.5556,0.2727,0.0857,0.1222,0.3889,0.004428,0.020037,0.797,3.6067,0.0778
42,2025-04-11,2025-10-07,180,0.55,0.3667,0.1507,0.1667,0.4056,-0.00127,0.013261,-0.2286,2.3869,0.0944
43,2025-07-10,2026-01-05,180,0.4611,0.2549,0.5532,0.5667,0.2611,0.004714,0.004967,0.8484,0.8941,0.3222
44,2025-10-08,2026-04-05,180,0.3889,0.2578,0.6875,0.7111,0.2667,0.005625,0.011742,1.0124,2.1136,0.4111
